jsonKey,Description,Version,12 Month DOT,12 Month DTSD,12 Month MTG,12 Month with Holdback DOT,12 Month with Holdback DTSD,12 Month with Holdback MTG,DSCR - DOT,DSCR - DTSD,DSCR - MTG,NY Building Loan - MTG,Commercial DOT,Commercial DTSD,Commercial MTG,Commercial with holdback DOT,Commercial with holdback DTSD,Commercial with holdback MTG,DSCR - Portfolio Rental DOT,DSCR - Portfolio Rental DTSD,DSCR - Portfolio Rental MTG,CEMA - DSCR,CEMA Acquisition Building Loan,DSCR - Portfolio Rental - MERS -DOT,DSCR - Portfolio Rental - MERS -DTSD,DSCR - Portfolio Rental - MERS -MTG,DSCR - Single Family Rental - MERS-DOT,DSCR - Single Family Rental - MERS-DSTD,DSCR - Single Family Rental - MERS-MTG,DSCR - 30 Year Single Family Rental - MERS- DOT,DSCR - 30 Year Single Family Rental - MERS-DTSD,DSCR - 30 Year Single Family Rental - MERS-MTG
acknowledgement_corporate_status,"Enter ""Bylaws and Board of Directors"" or ""Operating Agreement and Members"" depending upon Borrowing Entity being a Corporation or a LLC.",3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
amount_at_closing,"The net amount of funds available to Borrower after all fees and costs are netted, includiding the Construction Holdback (if any)",3.1.0,—,✓,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
block_number,Used to legally identify the property’s location within a survey system.,3.1.1,—,—,—,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—,—
borrower_address,Complete mailing address of the borrower.,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
borrower_contribution,"The amount of money the borrower is required to contribute toward the project, property purchase, or transaction from their own funds.",3.1.1,—,—,—,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—,—
borrower_name,The name of the borrowing entity,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
borrower_state,The state which the borrowing entity was formed in,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
bylaws_operating_agreement,"Specify if the borrower uses an operating agreement (for LLC), bylaws (for corporation), trust agreement (for Trust), partnership agreement (for partnership), etc",3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,—,—,—,—,—,✓,✓,✓,✓,✓,✓,—,✓,—,✓,✓,✓,—,✓
collateral_property_address,The full street address of the subject property,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
collateral_property_county,The street address of the collateral property being secured,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,—,—,—,—,—,—,—,—,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
collateral_property_state,The state in which the subject property is located,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
construction_holdback,"Total amount to be withheld from the loan amount to be advanced at a later date pursuant to a draw request, after a portion of construction is completed",3.1.0,—,—,—,✓,✓,✓,—,—,—,✓,✓,—,—,—,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—,—
date_of_closing,The intended date for the parties to sign and fund the loan transaction,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
district_number,Used to legally identify the property’s location within a survey system.,3.1.1,—,—,—,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—,—
draw_fee_amount,The fee associated with lender's expense to review a draw request form and issue an advance to borrower,3.1.1,—,—,—,✓,✓,✓,—,—,—,✓,—,—,—,—,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—,—
exit_fee_percentage,Percentage of the applicable exit fee,3.1.1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
first_day_of_month_plus_1_year,The payment date plus One Year.,3.1.0,✓,✓,✓,✓,✓,✓,—,—,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,—,—,—,—,—,—,—,—
first_payment_date,The date in which the first payment under the loan comes due and payable,3.1.0,—,—,—,—,—,—,✓,✓,✓,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
governing_law,The law governing the terms of the contract of the loan (can be the same or different than the state of the subject property,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
governing_law_all_caps,The state whose law will govern the terms of the contract (can be the same or different than the state of the subject property),3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
guarantor_address,Address of the personal guarantor of the loan,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
guarantor_name,Name of the personal guarantor of the loan,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
guarantor_or_collectively_the_guarantor,"If there is one guarantor, enter ""guarantor"". If there are multiple guarantors, enter ""collectively, the guarantor""",3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,—,✓,—,—,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
individual_jointly_and_severally,"If there is one guarantor, enter ""indvidually"". If there are multiple guarantors, enter ""jointly and severally""",3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,—,✓,—,—,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
initial_advance,The total loan amount less the construction holdback amount,3.1.0,—,—,—,✓,✓,✓,—,—,—,✓,—,—,✓,✓,—,✓,✓,✓,✓,✓,✓,—,✓,✓,✓,—,—,✓,✓,—
initial_advance_upon_closing,The total loan amount less the construction holdback amount,3.1.0,—,—,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—,✓,✓,✓,—,—,—,—,—,—,—,—,—,—
interest_rate,The interest rate of the loan,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
last_day_of_the_month,"Last day of the month of closing, used to identify the last date that per diem interest shall accrue",3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
last_day_to_draw,The last day the borrower has to make a request for an advance of the construction holdback. The most common last day to draw is two months before the maturity date to ensure the project can be completed with time to sell/refinance and repay the lender,3.1.0,—,—,—,✓,✓,✓,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
lender_address,The address of the lender making the loan,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
lender_name,The name of the lender making the loan,3.1.0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
