Field ID,Label,Kind,Declared type,Declared format,Data types actually seen,JSON path,Contract path,Repeats?,Read-only?,Filled on long-term (count),Filled on long-term (%),Filled on short-term (count),Filled on short-term (%),Distinct values,Min,25th percentile,Median,75th percentile,Max,First filled at milestone,In legacy catalog?,Sample values withheld because
2,Trans Details Total Loan Amt (w/ MIP/FF),standard,Decimal,DECIMAL_2,int x696,$.baseLoanAmount,loan.baseLoanAmount,no,yes,450,91.8,223,88.8,476,120000,216000,360000,450000,600000,Started,no,identifying-or-high-cardinality
3,Trans Details Interest Rate,standard,Decimal,DECIMAL_3,float x556 | int x111,$.requestedInterestRatePercent,loan.requestedInterestRatePercent,no,no,426,86.9,201,80.1,93,6,6.875,7.25,8,10.75,Started,yes,identifying-or-high-cardinality
4,Trans Details Term (Mos),standard,Int,INTEGER,int x760,$.loanAmortizationTermMonths,loan.loanAmortizationTermMonths,no,no,490,100,251,100,7,1,12,24,360,480,Started,yes,
5,Trans Details Mo Pymt (P&I),standard,Decimal,DECIMAL_2,float x639 | int x52,$.principalAndInterestMonthlyPaymentAmount,loan.principalAndInterestMonthlyPaymentAmount,no,no,449,91.6,199,79.3,619,559.42,1061.11,1379.55,2214.84,5525.4,Started,no,identifying-or-high-cardinality
11,Subject Property Street,standard,String,STRING,str x693,$.property.streetAddress,loan.property.streetAddress,no,no,461,94.1,208,82.9,651,,,,,,Started,yes,identifying-or-high-cardinality
12,Subject Property City,standard,String,STRING,str x690,$.property.city,loan.property.city,no,no,457,93.3,209,83.3,247,,,,,,Started,yes,identifying-or-high-cardinality
13,Subject Property County,standard,String,STRING,str x623,$.property.county,loan.property.county,no,no,430,87.8,171,68.1,107,,,,,,Started,yes,identifying-or-high-cardinality
14,Subject Property State,standard,String,STATE,str x689,$.property.state,loan.property.state,no,no,456,93.1,209,83.3,15,,,,,,Started,yes,
15,Subject Property Zip,standard,String,ZIPCODE,str x690,$.property.postalCode,loan.property.postalCode,no,no,458,93.5,208,82.9,503,,,,,,Started,yes,identifying-or-high-cardinality
16,Subject Property # Units,standard,Int,INTEGER,int x672,$.property.financedNumberOfUnits,loan.property.financedNumberOfUnits,no,no,450,91.8,200,79.7,10,1,2,3,4,10,Started,yes,
17,Subject Property Legal Desc1,standard,String,STRING,str x249,$.property.legalDescriptionText1,loan.property.legalDescriptionText1,no,no,199,40.6,49,19.5,231,,,,,,Started,yes,identifying-or-high-cardinality
