Field ID,Label,Milestone,Filled at this milestone (%)
2,Trans Details Total Loan Amt (w/ MIP/FF),Completion,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Cond. Approval,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Docs Out,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Final Docs,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Investor Delivery,100
2,Trans Details Total Loan Amt (w/ MIP/FF),LO Prep,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Loan Setup,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Purchasing Conditions,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Started,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Submittal,100
2,Trans Details Total Loan Amt (w/ MIP/FF),Waiting for Docs,100
3,Trans Details Interest Rate,Completion,100
3,Trans Details Interest Rate,Cond. Approval,52.4
3,Trans Details Interest Rate,Docs Out,100
3,Trans Details Interest Rate,Final Docs,100
3,Trans Details Interest Rate,Investor Delivery,100
3,Trans Details Interest Rate,LO Prep,100
3,Trans Details Interest Rate,Loan Setup,100
3,Trans Details Interest Rate,Purchasing Conditions,100
3,Trans Details Interest Rate,Started,100
3,Trans Details Interest Rate,Submittal,97
3,Trans Details Interest Rate,Waiting for Docs,50
4,Trans Details Term (Mos),Completion,100
4,Trans Details Term (Mos),Cond. Approval,100
4,Trans Details Term (Mos),Docs Out,100
4,Trans Details Term (Mos),Final Docs,100
4,Trans Details Term (Mos),Investor Delivery,100
4,Trans Details Term (Mos),LO Prep,100
4,Trans Details Term (Mos),Loan Setup,100
4,Trans Details Term (Mos),Purchasing Conditions,100
4,Trans Details Term (Mos),Started,100
4,Trans Details Term (Mos),Submittal,100
4,Trans Details Term (Mos),Waiting for Docs,100
5,Trans Details Mo Pymt (P&I),Completion,100
5,Trans Details Mo Pymt (P&I),Cond. Approval,95.2
5,Trans Details Mo Pymt (P&I),Docs Out,100
5,Trans Details Mo Pymt (P&I),Final Docs,100
5,Trans Details Mo Pymt (P&I),Investor Delivery,100
5,Trans Details Mo Pymt (P&I),LO Prep,100
5,Trans Details Mo Pymt (P&I),Loan Setup,100
5,Trans Details Mo Pymt (P&I),Purchasing Conditions,100
5,Trans Details Mo Pymt (P&I),Started,100
5,Trans Details Mo Pymt (P&I),Submittal,100
5,Trans Details Mo Pymt (P&I),Waiting for Docs,100
11,Subject Property Street,Completion,100
11,Subject Property Street,Cond. Approval,100
11,Subject Property Street,Docs Out,100
11,Subject Property Street,Final Docs,100
11,Subject Property Street,Investor Delivery,100
11,Subject Property Street,LO Prep,100
11,Subject Property Street,Loan Setup,100
11,Subject Property Street,Purchasing Conditions,100
11,Subject Property Street,Started,100
11,Subject Property Street,Submittal,100
11,Subject Property Street,Waiting for Docs,100
12,Subject Property City,Completion,100
12,Subject Property City,Cond. Approval,100
12,Subject Property City,Docs Out,100
12,Subject Property City,Final Docs,100
12,Subject Property City,Investor Delivery,100
12,Subject Property City,LO Prep,100
12,Subject Property City,Loan Setup,100
12,Subject Property City,Purchasing Conditions,100
12,Subject Property City,Started,100
12,Subject Property City,Submittal,100
12,Subject Property City,Waiting for Docs,100
13,Subject Property County,Completion,100
13,Subject Property County,Cond. Approval,100
13,Subject Property County,Docs Out,100
13,Subject Property County,Final Docs,100
13,Subject Property County,Investor Delivery,100
13,Subject Property County,LO Prep,100
13,Subject Property County,Loan Setup,100
13,Subject Property County,Purchasing Conditions,100
13,Subject Property County,Started,100
13,Subject Property County,Submittal,100
13,Subject Property County,Waiting for Docs,100
14,Subject Property State,Completion,100
