Field ID,Label,Kind,Data type,Format,Option value,Option text,Where this option came from,Long-term loans using it,Known drift
169,Borr Declarations G,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
169,Borr Declarations G,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
265,Borr Declarations M,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
265,Borr Declarations M,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
418,Borr Declarations A,standard,Boolean,YN,Yes,Yes,declared by Encompass,0,declared-set-does-not-match-tenant
418,Borr Declarations A,standard,Boolean,YN,No,No,declared by Encompass,490,declared-set-does-not-match-tenant
420,Trans Details Lien Position,standard,String,STRING,FirstLien,First,declared by Encompass,490,
420,Trans Details Lien Position,standard,String,STRING,SecondLien,Subordinate,declared by Encompass,0,
608,Trans Details Amort Type,standard,String,STRING,Fixed,Fixed Rate,declared by Encompass,490,
608,Trans Details Amort Type,standard,String,STRING,GraduatedPaymentMortgage,GPM - Rate,declared by Encompass,0,
608,Trans Details Amort Type,standard,String,STRING,AdjustableRate,ARM,declared by Encompass,0,
608,Trans Details Amort Type,standard,String,STRING,OtherAmortizationType,Other,declared by Encompass,0,
675,Prepayment Penalty,standard,Boolean,YN,Y,Yes,declared by Encompass,466,boolean-representation
675,Prepayment Penalty,standard,Boolean,YN,N,No,declared by Encompass,24,boolean-representation
677,Trans Details Assumption May/May Not,standard,String,STRING,May,may (only for RESPA 2010),declared by Encompass,0,
677,Trans Details Assumption May/May Not,standard,String,STRING,May_not,may not,declared by Encompass,490,
677,Trans Details Assumption May/May Not,standard,String,STRING,May_SubjectToConditions,"may, subject to conditions",declared by Encompass,0,
1041,Subject Property Type Fannie Mae,standard,String,STRING,Attached,Attached,declared by Encompass,0,
1041,Subject Property Type Fannie Mae,standard,String,STRING,Condominium,Condominium,declared by Encompass,1,
1041,Subject Property Type Fannie Mae,standard,String,STRING,Cooperative,Co-Operative,declared by Encompass,0,
1041,Subject Property Type Fannie Mae,standard,String,STRING,Detached,Detached,declared by Encompass,488,
1041,Subject Property Type Fannie Mae,standard,String,STRING,HighRiseCondominium,High Rise Condominium,declared by Encompass,0,
1041,Subject Property Type Fannie Mae,standard,String,STRING,ManufacturedHousing,Manufactured Housing,declared by Encompass,0,
1041,Subject Property Type Fannie Mae,standard,String,STRING,PUD,PUD,declared by Encompass,1,
1041,Subject Property Type Fannie Mae,standard,String,STRING,DetachedCondo,Detached Condo,declared by Encompass,0,
1041,Subject Property Type Fannie Mae,standard,String,STRING,ManufacturedHomeCondoPUDCoOp,Mfd Home/Condo/PUD/Co-Op,declared by Encompass,0,
1041,Subject Property Type Fannie Mae,standard,String,STRING,MH HomeChoice,MH CHOICEHome,declared by Encompass,0,
1041,Subject Property Type Fannie Mae,standard,String,STRING,MHSelect,MH Select,declared by Encompass,0,
1041,Subject Property Type Fannie Mae,standard,String,STRING,MHAdvantage,MH Advantage,declared by Encompass,0,
1172,Trans Details Loan Type,standard,String,STRING,Conventional,Conventional,declared by Encompass,490,
1172,Trans Details Loan Type,standard,String,STRING,VA,VA,declared by Encompass,0,
1172,Trans Details Loan Type,standard,String,STRING,FHA,FHA,declared by Encompass,0,
1172,Trans Details Loan Type,standard,String,STRING,Other,Other,declared by Encompass,0,
1172,Trans Details Loan Type,standard,String,STRING,FarmersHomeAdministration,USDA-RHS,declared by Encompass,0,
1172,Trans Details Loan Type,standard,String,STRING,HELOC,HELOC,declared by Encompass,0,
1550,Underwriting Escrow,standard,Boolean,YN,Y,Escrow (T&I),declared by Encompass,485,boolean-representation
1550,Underwriting Escrow,standard,Boolean,YN,N,No,declared by Encompass,5,boolean-representation
1659,Trans Details Amort Type Balloon,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
1659,Trans Details Amort Type Balloon,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
1719,Trans Details Late Charge % Based On,standard,String,STRING,of the payment,of the payment,declared by Encompass,0,
1719,Trans Details Late Charge % Based On,standard,String,STRING,of the overdue payment,of the overdue payment,declared by Encompass,488,
1719,Trans Details Late Charge % Based On,standard,String,STRING,of the interest payment due,of the interest payment due,declared by Encompass,0,
1719,Trans Details Late Charge % Based On,standard,String,STRING,of the principal and interest overdue,of the principal and interest overdue,declared by Encompass,2,
1719,Trans Details Late Charge % Based On,standard,String,STRING,of any installment,of any installment,declared by Encompass,0,
1757,Expenses Calc MIP/PMI Based On,standard,String,STRING,Loan Amount,Loan Amount,declared by Encompass,490,
1757,Expenses Calc MIP/PMI Based On,standard,String,STRING,Purchase Price,Purchase Price,declared by Encompass,0,
1757,Expenses Calc MIP/PMI Based On,standard,String,STRING,Appraisal Value,Appraisal Value,declared by Encompass,0,
