Program,Family,Loans,Term (months),Interest-only?,Interest-only (months),Amortization,Loan type,Purpose,Occupancy,Units,Property type
Investor DSCR 30 YEAR FRM,long-term (DSCR),457,"{""360"":457}","{""False"":444,""True"":13}","{""12"":7,""24"":3,""120"":3,""None"":444}","{""Fixed"":457}","{""Conventional"":457}","{""Cash-Out Refinance"":262,""Purchase"":108,""NoCash-Out Refinance"":58,""None"":29}","{""Investor"":456,""PrimaryResidence"":1}","{""1"":231,""2"":94,""3"":50,""4"":26,""5"":7,""None"":35}","{""Detached"":455,""Condominium"":1,""PUD"":1}"
Fix & Flip Purchase + reno,short-term (RTL),251,"{""11"":1,""12"":246,""18"":3,""24"":1}","{""True"":251}","{""12"":192,""24"":59}","{""Fixed"":251}","{""Conventional"":251}","{""Purchase"":241,""Cash-Out Refinance"":5,""NoCash-Out Refinance"":5}","{""Investor"":251}","{""1"":100,""2"":51,""3"":31,""4"":16,""6"":2,""None"":51}","{""None"":207,""Detached"":39,""Attached"":3,""DetachedCondo"":1,""PUD"":1}"
DSCR I/O 30 Year FRM,long-term (DSCR),26,"{""360"":26}","{""True"":26}","{""120"":26}","{""Fixed"":26}","{""Conventional"":26}","{""Cash-Out Refinance"":19,""NoCash-Out Refinance"":6,""Purchase"":1}","{""Investor"":26}","{""1"":23,""2"":1,""4"":1,""None"":1}","{""Detached"":26}"
(blank),other,18,"{""12"":1,""360"":10,""None"":7}","{""False"":17,""True"":1}","{""12"":1,""None"":17}","{""Fixed"":12,""None"":6}","{""Conventional"":12,""None"":5,""Other"":1}","{""Purchase"":8,""Cash-Out Refinance"":5,""None"":4,""NoCash-Out Refinance"":1}","{""Investor"":13,""None"":5}","{""1"":7,""2"":5,""3"":2,""None"":4}","{""None"":16,""Detached"":2}"
Conventional Fixed,other,8,"{""360"":3,""None"":5}","{""False"":8}","{""None"":8}","{""Fixed"":8}","{""Conventional"":8}","{""Purchase"":3,""Cash-Out Refinance"":3,""None"":2}","{""Investor"":3,""None"":3,""PrimaryResidence"":2}","{""1"":1,""2"":1,""None"":6}","{""Detached"":8}"
DSCR I/O 40 Year FRM,long-term (DSCR),3,"{""480"":3}","{""True"":3}","{""120"":3}","{""Fixed"":3}","{""Conventional"":3}","{""NoCash-Out Refinance"":2,""Cash-Out Refinance"":1}","{""Investor"":3}","{""1"":2,""None"":1}","{""Detached"":3}"
Closed End Second,other,3,"{""1"":1,""360"":2}","{""True"":2,""False"":1}","{""1"":1,""24"":1,""None"":1}","{""Fixed"":3}","{""Conventional"":3}","{""Cash-Out Refinance"":2,""Purchase"":1}","{""Investor"":3}","{""1"":1,""2"":1,""3"":1}","{""Detached"":3}"
Investor DSCR 40 YEAR FRM,long-term (DSCR),2,"{""480"":2}","{""False"":2}","{""None"":2}","{""Fixed"":2}","{""Conventional"":2}","{""Cash-Out Refinance"":2}","{""Investor"":2}","{""1"":1,""6"":1}","{""Detached"":2}"
DSCR ARM,long-term (DSCR),2,"{""360"":2}","{""True"":1,""False"":1}","{""120"":1,""None"":1}","{""Fixed"":2}","{""Conventional"":2}","{""Purchase"":1,""None"":1}","{""Investor"":2}","{""None"":2}","{""Detached"":2}"
HELOC- Qualify Using Rate/Index,other,1,"{""360"":1}","{""False"":1}","{""None"":1}","{""AdjustableRate"":1}","{""HELOC"":1}","{""Cash-Out Refinance"":1}","{""PrimaryResidence"":1}","{""3"":1}","{""Detached"":1}"
Closed End Second Alt Doc,other,1,"{""360"":1}","{""False"":1}","{""None"":1}","{""Fixed"":1}","{""Conventional"":1}","{""Cash-Out Refinance"":1}","{""Investor"":1}","{""1"":1}","{""Detached"":1}"
