"Canonical key (join on THIS, never the name)",Canonical label,Spelling seen in Encompass,Also a note buyer on the short-term side?
a_and_d,A&D Mortgage LLC,A&D Mortgage LLC,no
acra,Acra Lending,Acra Lending,no
amb,A Mortgage Boutique,A Mortgage Boutique,no
american_heritage,American Heritage Lending,American Heritage Lending,no
amerihome,AmeriHome Mortgage,AmeriHome Mortgage,no
amwest,Amwest Funding Corporation,Amwest Funding Corporation,no
arc_home,Arc Home Loans,Arc Home Loans,no
blue_lake,Blue Lake Capital,Blue Lake Capital,yes
broadview,Broadview Funding,Broadview Funding,no
cake,Cake Mortgage Corp,Cake Mortgage Corp,no
champions,"Champions Funding, LLC","Champions Funding, LLC",no
constructive_capital,Constructive Capital,Constructive Capital,no
cornerstone,Cornerstone Servicing,Cornerstone Servicing,no
corrfirst,CorrFirst,CorrFirst,yes
deephaven,Deephaven Mortgage LLC,Deephaven Mortgage LLC,no
dominion,Dominion Financial,Dominion Financial,no
emcap,EMCAP Financial,EMCAP Financial,yes
eresi,eResi Mortgage,eResi Mortgage,no
fidelis,Fidelis Investors LLC,Fidelis Investors LLC,yes
foundation,Foundation Mortgage,Foundation Mortgage,no
icecap,IceCap / ICE Lender Holdings,IceCap / ICE Lender Holdings,no
loan_store,"The Loan Store, Inc.","The Loan Store, Inc.",no
logan,Logan Finance,Logan Finance,no
npb,NPB,NPB,no
nqm,NQM Funding,NQM Funding,no
oaktree,Oaktree Funding Corp,Oaktree Funding Corp,no
onslow_bay,Onslow Bay Financial,Onslow Bay Financial,no
pennymac,PennyMac TPO,PennyMac TPO,no
phh,PHH Mortgage,PHH Mortgage,no
rcn,RCN Capital,RCN Capital,yes
roc,ROC Capital,ROC Capital,no
selene,Selene Finance LP,Selene Finance LP,no
temple_view,Temple View Capital,Temple View Capital,no
