Template,Type,Short code,Category,Prior to,Active?,Where it prints,Description (staff),Description (borrower)
LLC Documents,Underwriting,UW,Credit,Submittal,yes,ExternalPrint | InternalPrint,LLC Documents,"
- EIN Letter  - Certificate of Formation - Operating agreement - Recent Certificate of Good Standing (If you do not have this, let us know—we can request it from title.)"
Sale Proceeds,Underwriting,UW,Assets,Approval,yes,ExternalPrint,,Provide a copy of the fully executed HUD-1 Settlement Statement or Closing Disclosure to verify the proceeds from the sale or pending sale of your property. 
Earnest Money Verification,Underwriting,YSCAP,Assets,Docs,yes,ExternalPrint,,Amount of earnest money deposit shown on Closing Disclosure.
Perm/Non-Perm Resident,Underwriting,UW,Miscellaneous,Approval,yes,ExternalPrint,,Provide evidence that borrower is a legal resident of the United States
Appraisal Recertification by the original appraiser,Underwriting,UW,Property,Approval,yes,InternalPrint,Provide recertification of value Form 1004D-Appraisal Update and/or Completion Report,
Tax Returns Sign & Date,Closing,CL,Income,Funding,yes,ExternalPrint,,Borrower(s) to sign and date tax returns
Lock Confirmation- Floating Loan,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,Interest Rate is currently floating.,Interest Rate is currently floating.
Exclusionary List- Appraiser,Underwriting,YSCAP,Property,Docs,yes,ExternalPrint,,Underwriter to check the appraiser against the applicable investor exclusionary list.
VA - Mobilization Info,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Reserve/NG Statement Regarding Income When Mobilized
Certificate of Occupancy,Closing,CL,Property,Closing,yes,ExternalPrint,,Provide certificate of occupancy from municipality.
LPOA,Underwriting,UW,Legal,Approval,yes,ExternalPrint,,"Provide a signed and notarized copy of the Power of Attorney, Statement of Indemnity and Agent's Affidavit."
Bank Statements for Cash to Close and Reserves (x% own funds) - ,Underwriting,UW,Assets,Approval,yes,ExternalPrint | InternalPrint,minimum required % of downpayment and remaining gift funds,"Submit your most recent bank statements with all pages. This is to verify the estimated minimum required assets of $xxxx. And additional $xxxx for reserves. Reserves may be sourced from gift funds however, it will need to be deposited in your bank account before closing.
Remaining Assets - Gift Funds -Please provide the following information for the Donor of the Gift funds. We will prepare a gift letter and send it to you and Donor for Signature Via Docusign; - Name of Donor - Donor Phone Number - Donor Address - Donor's email address - Borrower(s) relationship to Donor - Name of Depository (Name of Bank money will come from) - Account Number - Gift Amount"
Rider – 1-4 Unit,Underwriting,YSCAP,Miscellaneous,Funding,yes,ExternalPrint | InternalPrint,(Only if property type is 1-4 units.),Executed 1-4 unit/Assignment of Leases rider to the security instrument. 
Utility Bill / Proof of Address,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,Deephaven ONLY,"If the address on the borrower's government-issued ID does not match the borrower's primary/mailing address on the 1003, provide a recent utility bill (gas, electric, water, or cable) dated within the last 60 days, in the borrower's name, showing the primary address."
Standard Loan Information,Underwriting,YSCAP,Miscellaneous,Docs,yes,InternalPrint | ExternalPrint,,STANDARD LOAN INFORMATION| Investor____ Program_____| 30 YR FIXED | R/T REFI | 4 UNIT | FICO = 780 | DSCR = 1.35 | MAX LTV = 80% | RESERVES = 3 MONTHS (Additional conditions may apply.)
Assets - Gift Funds - ,Underwriting,UW,Assets,Approval,yes,ExternalPrint,,Please provide the following information for the Donor of the Gift funds. We will prepare a gift letter and send it to you and Donor for Signature Via Docusign: - Name of Donor - Donor Phone Number - Donor Address - 	Donor's email address - Borrower's  relationship to Donor - Name of Depository (Name of Bank money will come from) - Account Number -  Gift Amount
Housing History,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint | InternalPrint,,"Provide most recent 12 months housing history for lien holder not reporting on credit. Options: 1) Transaction History printout, 2) Mortgage statement(s) showing payment history, 3) 12 months cancelled checks. (If verified on credit, provide credit supplement to confirm all mortgages paid through month of closing.)"
Delayed Financing,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,,Amount of interest in the property as of ________.
Rental Income,Underwriting,YSCAP,Income,Docs,yes,ExternalPrint,,Provide rental/lease agreement for subject property.
Rental/Lease Agreement,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Provide a signed rental/lease agreement for (address) to confirm rental income. 
Cash Out Limitation (R&T),Underwriting,YSCAP,Legal,Funding,yes,ExternalPrint,Update per investor at each review,"Cash out to borrower(s) cannot exceed ________% or $________, whichever is less"
Derogatory credit LOE,Underwriting,UW,Credit,Approval,yes,ExternalPrint,,Provide an explanation for the derogatory credit indicated on the credit report.
