Document type,Description
*Borrower Docs,To be used with Data & Doc Automation
1003 - URLA,
1st lein letter,
4506T Settlement Service,4506 Results
Ability To Repay Worksheet,
ACH Form,
Acknowledgement Of Receipt Of Closing Disclosure,
Acknowledgement Of Receipt Of Loan Estimate,
ACKNOWLEDGMENT OF RECEIPT OF APPRAISAL REPORT,
Addendum To Closing Disclosure,
Affiliated Business Arrangement Disclosure,Affiliated Business Disclosure
AKA Affidavit,AKA Affidavit
Amortization Schedule,"Amortization Schedule, Complete"
Anti-Steering Disclosure,Anti-Steering Safe Harbor Disclosure
Appraisal,
Appraisal Completion Report,442 Completion Certificate
Approval Letter,
ATR Document,
AVM,
Bailee Letter,
Bank Statement,
Bankruptcy Court Reaffirmation,
Bankruptcy Discharge Notice,
Bankruptcy Papers,
Bankruptcy Schedules,
Birth Certificate,
BORROWER BUSINESS PURPOSE DISCLOSURE AND CERTIFICATION,
Borrower Correspondence,
BUSINESS PURPOSE & OCCUPANCY AFFIDAVIT,
CA Privacy Policy Disclosure,
Certificate Of Completion Of Housing Counseling,
Certificate Of Occupancy,
Certificate Of Trust,
Certification Regarding Beneficial Owners of Legal Entity Customers,
Change of Circumstance,
Check,
Child Care Provider Certification,
Closing Disclosure,
Closing Disclosure (Alternate),
Closing Disclosure (Seller),
Closing Package,Completed Closing Package
Compliance Report,
Condominium Questionnaire Worksheet,
Construction Budget,Approved budget for the construction of the new home
Construction Contract,Signed contract between builder and borrower.
Construction Lien Waiver,
Construction Loan Agreement,
Construction Plans & Specs,Plans and specifications for the home to be built
Construction Underwriting Documents,
"Construction Water, Perc, Soil Tests",All required tests for pre-construction
Contact Information For Draws,
Convertible ARM Disclosure,
cover page,
Credit Analyzer Worksheet,For Use with Encompass Credit Analyzer
Credit Authorization,
Credit Explanation,
Credit Report,
Credit Supplement,Credit Supplement
Custom ARM Disclosure,
Data Audit Report,
Debt Consolidation Worksheet,
Delayed Financing,Delayed Financing Documents
Divorce Decree,
Document Checklist,
Document Preparation,
DPA Grant Letter,
EarlyCheck,
Electronic Verification Of Employment,Electronic Verification Of Employment
Employment Contract,
Engineer Certificate of Construction,
Entity documents,
